,package,fileName,type,desc,priority,start,end,label,code,lineNum,statementNum,branchStatementNum,callNum,cycleComplexity,depth
1286,camel-core-2.25.2,AnnotationTypeConverterLoader,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,STYLE,3,390,390,false,MethodDeclaration Modifier public serialize FormalParameter ReferenceType DataLimits limits FormalParameter ReferenceType DataOutputPlus out FormalParameter BasicType int version FormalParameter ReferenceType ClusteringComparator comparator IOException SwitchStatement MethodInvocation limits kind SwitchStatementCase CQL_PAGING_LIMIT LocalVariableDeclaration ReferenceType CQLLimits VariableDeclarator cqlLimits Cast ReferenceType CQLLimits MemberReference limits IfStatement BinaryOperation == MethodInvocation limits kind MemberReference Kind CQL_PAGING_LIMIT BlockStatement LocalVariableDeclaration ReferenceType CQLPagingLimits VariableDeclarator pagingLimits Cast ReferenceType CQLPagingLimits MemberReference cqlLimits End End,4,2,0,3,2,2
6420,flink-core-1.9.0,ReflectionUtil,EI_EXPOSE_REP,MALICIOUS_CODE,2,219,219,false,,3,1,0,0,1,3
3803,cassandra-all-3.11.8,YamlConfigurationLoader,LI_LAZY_INIT_STATIC,MT_CORRECTNESS,3,99,100,false,,5,2,1,1,2,2
5923,flink-core-1.6.4,ByteArrayInputStreamWithPos,EI_EXPOSE_REP2,MALICIOUS_CODE,2,132,132,false,,3,1,0,0,1,2
1319,camel-core-2.25.2,ClaimCheckDefinition,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,STYLE,3,84,84,true,MethodDeclaration Modifier private static final BasicType boolean isLocal FormalParameter ReferenceType String flinkHost FormalParameter ReferenceType String hosts IfStatement BinaryOperation || BinaryOperation == MemberReference flinkHost Literal null BinaryOperation == MemberReference hosts Literal null BlockStatement End ForStatement EnhancedForControl VariableDeclaration ReferenceType String VariableDeclarator h MemberReference hosts BlockStatement IfStatement BinaryOperation && BinaryOperation != MemberReference h Literal null MethodInvocation NetUtils MethodInvocation MemberReference flinkHost equals MethodInvocation h toLowerCase getHostnameFromFQDN BlockStatement End End,6,3,0,2,1,2
2982,cassandra-all-3.0.22,ReplicationAwareTokenAllocator,BC_UNCONFIRMED_CAST,STYLE,3,248,248,false,MethodDeclaration Modifier public invalidateCachedRings StatementExpression MemberReference ++ ringVersion,10,2,2,0,1,3
3288,cassandra-all-3.11.8,Cql_Parser,SF_SWITCH_NO_DEFAULT,STYLE,2,10299,10304,false,MethodDeclaration Modifier final public ReferenceType ColumnIdentifier non_type_ident RecognitionException TryStatement SwitchStatement MethodInvocation input Literal 1 LA End SwitchStatement MemberReference alt210 SwitchStatementCase Literal 4 BlockStatement StatementExpression Assignment MemberReference kk Cast ReferenceType Token MethodInvocation MemberReference input MemberReference K_KEY MemberReference FOLLOW_K_KEY_in_non_type_ident12197 match = StatementExpression Assignment MemberReference id ClassCreator ReferenceType ColumnIdentifier TernaryExpression BinaryOperation != MemberReference kk Literal null MethodInvocation kk getText Literal null Literal false = End CatchClause CatchClauseParameter RecognitionException re,21,12,9,3,8,9
5264,commons-jexl-b3ea9968b43c4c0bbc3533491336c261b2645e9b,ParserTokenManager,DLS_DEAD_LOCAL_STORE,STYLE,2,1776,1776,false,,4,2,1,0,2,2
4254,cassandra-all-4.0-beta2,DelimiterAnalyzer,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,STYLE,3,56,56,false,,3,1,0,1,1,2
4828,commons-bcel-c261c611aa0c9fa4314760449bc0ad5360010e94,BootstrapMethods,EI_EXPOSE_REP,MALICIOUS_CODE,2,80,80,false,,3,1,0,0,1,2
227,camel-core-2.21.5,ManagedStickyLoadBalancer,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,STYLE,3,46,46,false,"MethodDeclaration Modifier static public ReferenceType String keyToString FormalParameter Modifier final BasicType byte b FormalParameter Modifier final BasicType int o FormalParameter Modifier final BasicType int l IfStatement BinaryOperation == MemberReference b Literal null ReturnStatement Literal """" End LocalVariableDeclaration BasicType int VariableDeclarator rowlength MethodInvocation Bytes MemberReference b MemberReference o toShort LocalVariableDeclaration ReferenceType String VariableDeclarator row MethodInvocation Bytes MemberReference b BinaryOperation + MemberReference o MemberReference Bytes SIZEOF_SHORT MemberReference rowlength toStringBinary LocalVariableDeclaration BasicType int VariableDeclarator columnoffset BinaryOperation + BinaryOperation + BinaryOperation + MemberReference o MemberReference Bytes SIZEOF_SHORT Literal 1 MemberReference rowlength LocalVariableDeclaration BasicType int VariableDeclarator familylength MemberReference ArraySelector BinaryOperation - MemberReference columnoffset Literal 1 b LocalVariableDeclaration BasicType int VariableDeclarator columnlength BinaryOperation - MemberReference l BinaryOperation + BinaryOperation - MemberReference columnoffset MemberReference o MemberReference TIMESTAMP_TYPE_SIZE LocalVariableDeclaration ReferenceType String VariableDeclarator family TernaryExpression BinaryOperation == MemberReference familylength Literal 0 Literal """" MethodInvocation toStringBinary LocalVariableDeclaration ReferenceType String VariableDeclarator qualifier TernaryExpression BinaryOperation == MemberReference columnlength Literal 0 Literal """" MethodInvocation toStringBinary LocalVariableDeclaration ReferenceType String VariableDeclarator timestampStr MethodInvocation MemberReference timestamp humanReadableTimestamp LocalVariableDeclaration BasicType byte VariableDeclarator type MemberReference ArraySelector BinaryOperation - BinaryOperation + MemberReference o MemberReference l Literal 1 b ReturnStatement BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + MemberReference row Literal ""/"" MemberReference family TernaryExpression BinaryOperation && BinaryOperation != MemberReference family Literal null BinaryOperation > MethodInvocation length Literal 0 Literal "":"" Literal """" MemberReference qualifier Literal ""/"" MemberReference timestampStr Literal ""/"" MethodInvocation codeToType",4,1,0,1,1,2
1173,camel-core-2.24.2,PublishEventNotifier,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,STYLE,3,112,112,true,MethodDeclaration Modifier public messageReceived FormalParameter ReferenceType StreamMessage message SwitchStatement MemberReference message type SwitchStatementCase PREPARE LocalVariableDeclaration ReferenceType PrepareMessage VariableDeclarator msg Cast ReferenceType PrepareMessage MemberReference message End,9,4,2,2,4,3
5435,commons-net-f1173cf2b033e0c0e2ad711827933566346dfe9b,echo,DM_DEFAULT_ENCODING,I18N,1,58,58,false,,5,0,0,0,0,0
6138,flink-core-1.8.0,DualInputOperator,EI_EXPOSE_REP,MALICIOUS_CODE,2,269,269,false,,7,3,2,0,3,3
555,camel-core-2.22.5,MockEndpoint,RV_RETURN_VALUE_IGNORED,CORRECTNESS,2,1471,1471,false,"MethodDeclaration ReferenceType String fileName ReturnStatement TernaryExpression MethodInvocation absolutePath isPresent MethodInvocation Paths MethodInvocation getFileName MethodInvocation toString MethodInvocation absolutePath get get Literal """"",4,2,0,1,2,2
4333,cassandra-all-4.0-beta2,JVMStabilityInspector,DM_EXIT,BAD_PRACTICE,2,201,201,false,,9,5,2,4,5,4
2041,cassandra-all-2.1.21,OutboundTcpConnection,VO_VOLATILE_INCREMENT,MT_CORRECTNESS,1,292,292,false,MethodDeclaration Modifier public BasicType int recover IOException IfStatement MemberReference allocator createReserveSegments ReturnStatement End LocalVariableDeclaration ReferenceType FilenameFilter VariableDeclarator unmanagedFilesFilter ClassCreator ReferenceType FilenameFilter ForStatement EnhancedForControl VariableDeclaration ReferenceType File VariableDeclarator file ClassCreator MethodInvocation MemberReference unmanagedFilesFilter listFiles ReferenceType File MethodInvocation DatabaseDescriptor getCommitLogLocation BlockStatement End,6,3,1,0,2,3
1301,camel-core-2.25.2,BeanInvocation,EI_EXPOSE_REP,MALICIOUS_CODE,2,60,60,false,MethodDeclaration Modifier public BasicType byte getSchemaAsByteArray ReturnStatement MemberReference schemaAsByteArray,3,1,0,0,1,2
531,camel-core-2.22.5,ManagedErrorHandler,NP_BOOLEAN_RETURN_NULL,BAD_PRACTICE,2,282,282,true,MethodDeclaration Modifier public run Exception StatementExpression Assignment MemberReference cmd MethodInvocation ssProxy MemberReference keyspace MemberReference options repairAsync = IfStatement BinaryOperation <= MemberReference cmd Literal 0 BlockStatement BlockStatement StatementExpression MethodInvocation condition await End,5,2,1,1,2,3
6653,hbase-common-1.6.0,HFileContext,EI_EXPOSE_REP,MALICIOUS_CODE,2,209,209,false,,3,1,0,0,1,2
2390,cassandra-all-2.2.18,FBUtilities,DP_DO_INSIDE_DO_PRIVILEGED,MALICIOUS_CODE,3,589,589,false,"MethodDeclaration Modifier public addClassPath FormalParameter ReferenceType File dir IfStatement BinaryOperation || BinaryOperation == MemberReference dir Literal null MethodInvocation ! dir exists ReturnStatement End LocalVariableDeclaration ReferenceType FilenameFilter VariableDeclarator filter ClassCreator ReferenceType FilenameFilter ForStatement EnhancedForControl VariableDeclaration ReferenceType File VariableDeclarator inputJar MethodInvocation dir MemberReference filter listFiles BlockStatement LocalVariableDeclaration ReferenceType File VariableDeclarator lib ClassCreator ReferenceType File MethodInvocation System Literal ""java.io.tmpdir"" getProperty Literal ""lib"" IfStatement MethodInvocation ! lib exists BlockStatement StatementExpression MethodInvocation lib mkdir End End",7,1,1,0,1,3
2766,cassandra-all-3.0.22,CqlParser,SF_SWITCH_NO_DEFAULT,STYLE,2,6096,6102,false,MethodDeclaration Modifier public Annotation Override BasicType int specialStateTransition FormalParameter BasicType int s FormalParameter ReferenceType IntStream _input NoViableAltException LocalVariableDeclaration ReferenceType TokenStream VariableDeclarator input Cast ReferenceType TokenStream MemberReference _input SwitchStatement MemberReference s SwitchStatementCase Literal 8 LocalVariableDeclaration BasicType int VariableDeclarator LA17_9 MethodInvocation input Literal 1 LA End,17,9,5,3,5,7
318,camel-core-2.21.5,TimePatternConverter,DM_BOXED_PRIMITIVE_FOR_PARSING,PERFORMANCE,1,61,61,true,MethodDeclaration Modifier final public ReferenceType CreateTypeStatement ReferenceType Raw createTypeStatement RecognitionException TryStatement BlockStatement StatementExpression MethodInvocation MemberReference input MemberReference K_CREATE MemberReference FOLLOW_K_CREATE_in_createTypeStatement5401 match IfStatement MemberReference state failed ReturnStatement MemberReference stmt End CatchClause CatchClauseParameter RecognitionException re,13,6,4,3,7,3
1554,camel-core-2.25.2,XmlConverter,DM_DEFAULT_ENCODING,I18N,1,236,236,false,MethodDeclaration Modifier static public execute FormalParameter Modifier final ReferenceType String uri FormalParameter Modifier final ReferenceType Evaluator evaluator TryStatement LocalVariableDeclaration ReferenceType SCXML VariableDeclarator doc MethodInvocation SCXMLReader ClassCreator ReferenceType URL MemberReference documentURI read IfStatement BinaryOperation == MemberReference doc Literal null BlockStatement End CatchClause CatchClauseParameter IOException ModelException XMLStreamException e,8,4,3,0,4,3
476,camel-core-2.22.5,FileIdempotentRepository,DM_DEFAULT_ENCODING,I18N,1,294,294,false,MethodDeclaration Modifier final public ReferenceType String createCfamColumnValidator RecognitionException TryStatement LocalVariableDeclaration BasicType int VariableDeclarator LA44_0 MethodInvocation input Literal 1 LA IfStatement BinaryOperation && BinaryOperation >= MemberReference LA44_0 Literal 94 BinaryOperation <= MemberReference LA44_0 Literal 107 BlockStatement IfStatement BinaryOperation == MemberReference LA44_0 MemberReference STRING_LITERAL BlockStatement End End SwitchStatement MemberReference alt44 SwitchStatementCase Literal 1 BlockStatement StatementExpression Assignment MemberReference comparatorType18 MethodInvocation comparatorType = StatementExpression Assignment MemberReference validator TernaryExpression BinaryOperation != MemberReference comparatorType18 Literal null MethodInvocation input MemberReference comparatorType18 start MemberReference comparatorType18 stop toString Literal null = End CatchClause CatchClauseParameter RecognitionException re,8,4,2,1,4,3
1321,camel-core-2.25.2,ControlBusProducer,REC_CATCH_EXCEPTION,STYLE,3,223,223,false,MethodDeclaration Modifier final public orderByClause FormalParameter ReferenceType Map TypeArgument ReferenceType ColumnIdentifier TypeArgument ReferenceType Boolean orderings RecognitionException TryStatement BlockStatement IfStatement MemberReference state failed ReturnStatement End LocalVariableDeclaration BasicType int VariableDeclarator LA38_0 MethodInvocation input Literal 1 LA IfStatement BinaryOperation == MemberReference LA38_0 MemberReference K_ASC BlockStatement IfStatement BinaryOperation == MemberReference LA38_0 MemberReference K_DESC BlockStatement End End SwitchStatement MemberReference alt38 SwitchStatementCase Literal 1 BlockStatement StatementExpression MethodInvocation MemberReference input MemberReference K_ASC MemberReference FOLLOW_K_ASC_in_orderByClause3011 match IfStatement MemberReference state failed ReturnStatement End SwitchStatementCase Literal 2 BlockStatement StatementExpression MethodInvocation MemberReference input MemberReference K_DESC MemberReference FOLLOW_K_DESC_in_orderByClause3015 match IfStatement MemberReference state failed ReturnStatement End IfStatement BinaryOperation == MemberReference state backtracking Literal 0 BlockStatement StatementExpression Assignment MemberReference reversed Literal true = End End CatchClause CatchClauseParameter RecognitionException re,6,2,1,0,2,3
261,camel-core-2.21.5,RedeliveryPolicy,DM_BOXED_PRIMITIVE_FOR_PARSING,PERFORMANCE,1,255,255,true,MethodDeclaration Modifier public Annotation Override ReferenceType Expression newInstance FormalParameter ReferenceType CamelContext camelContext Exception LocalVariableDeclaration ReferenceType Expression VariableDeclarator answer MethodInvocation getExpression IfStatement BinaryOperation != MemberReference answer Literal null BlockStatement End LocalVariableDeclaration ReferenceType ExpressionDefinition VariableDeclarator expressionType MethodInvocation getExpressionType IfStatement BinaryOperation && BinaryOperation != MemberReference expressionType Literal null BinaryOperation == MemberReference answer Literal null BlockStatement End,9,5,2,5,3,3
3777,cassandra-all-3.11.8,TreeCursor,NS_DANGEROUS_NON_SHORT_CIRCUIT,STYLE,1,183,183,false,,6,1,1,1,1,2
3646,cassandra-all-3.11.8,RowFilter,BC_UNCONFIRMED_CAST,STYLE,3,695,695,false,,6,4,3,1,3,6
5899,flink-core-1.11.2,UnionIterator,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,STYLE,3,100,100,false,,6,2,1,2,2,3
6097,flink-core-1.8.0,BigDecComparator,RV_NEGATING_RESULT_OF_COMPARETO,BAD_PRACTICE,2,48,48,false,,7,4,0,3,1,2
6031,flink-core-1.6.4,Record,UC_USELESS_CONDITION,STYLE,3,1358,1358,false,,6,2,2,0,3,3
892,camel-core-2.23.3,RouteDefinition,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,STYLE,3,1171,1171,false,"MethodDeclaration Modifier private ReferenceType Message ReferenceType Request parseLine FormalParameter ReferenceType String line LocalVariableDeclaration ReferenceType Splitter VariableDeclarator splitter MethodInvocation Splitter MethodInvocation trimResults MethodInvocation omitEmptyStrings Literal ' ' on LocalVariableDeclaration ReferenceType Iterator TypeArgument ReferenceType String VariableDeclarator iter MethodInvocation splitter MethodInvocation iterator MemberReference line split IfStatement MethodInvocation ! iter hasNext ReturnStatement End LocalVariableDeclaration ReferenceType String VariableDeclarator msgType MethodInvocation iter MethodInvocation toUpperCase next IfStatement MethodInvocation msgType Literal ""STARTUP"" equals BlockStatement IfStatement MethodInvocation msgType Literal ""QUERY"" equals BlockStatement IfStatement MethodInvocation msgType Literal ""PREPARE"" equals BlockStatement IfStatement MethodInvocation msgType Literal ""EXECUTE"" equals BlockStatement IfStatement MethodInvocation msgType Literal ""OPTIONS"" equals BlockStatement End End End End End",10,5,2,2,5,3
5529,flink-core-1.10.0,CopyableValueComparator,EI_EXPOSE_REP,MALICIOUS_CODE,2,136,136,false,,4,1,0,0,1,2
2168,cassandra-all-2.2.18,BatchMessage,REC_CATCH_EXCEPTION,STYLE,2,229,229,false,MethodDeclaration Modifier public BasicType long serializedSize FormalParameter ReferenceType Expression expression FormalParameter BasicType int version SwitchStatement MethodInvocation expression kind SwitchStatementCase MAP_EQUALITY LocalVariableDeclaration ReferenceType MapEqualityExpression VariableDeclarator mexpr Cast ReferenceType MapEqualityExpression MemberReference expression End,29,22,9,16,10,5
1390,camel-core-2.25.2,FileIdempotentRepository,DM_DEFAULT_ENCODING,I18N,1,434,434,false,MethodDeclaration Modifier public serialize FormalParameter ReferenceType ReadCommand command FormalParameter ReferenceType DataOutputPlus out FormalParameter BasicType int version IOException AssertStatement BinaryOperation < MemberReference version MemberReference MessagingService VERSION_30 AssertStatement BinaryOperation == MemberReference command kind MemberReference Kind SINGLE_PARTITION LocalVariableDeclaration ReferenceType SinglePartitionReadCommand VariableDeclarator singleReadCommand Cast ReferenceType SinglePartitionReadCommand MemberReference command,14,8,4,4,6,5
5627,flink-core-1.10.0,OperatingSystem,DM_CONVERT_CASE,I18N,3,124,124,false,,12,6,4,6,5,2
2347,cassandra-all-2.2.18,CqlParser,SF_SWITCH_NO_DEFAULT,STYLE,2,9740,9774,false,"MethodDeclaration Modifier final public ksName FormalParameter ReferenceType QualifiedName name RecognitionException TryStatement SwitchStatement MethodInvocation input Literal 1 LA End SwitchStatement MemberReference alt184 SwitchStatementCase Literal 1 BlockStatement StatementExpression Assignment MemberReference t Cast ReferenceType Token MethodInvocation MemberReference input MemberReference IDENT MemberReference FOLLOW_IDENT_in_ksName10120 match = IfStatement MemberReference state failed ReturnStatement End IfStatement BinaryOperation == MemberReference state backtracking Literal 0 BlockStatement StatementExpression MethodInvocation name TernaryExpression BinaryOperation != MemberReference t Literal null MethodInvocation t getText Literal null Literal false setKeyspace End SwitchStatementCase Literal 2 BlockStatement StatementExpression Assignment MemberReference t Cast ReferenceType Token MethodInvocation MemberReference input MemberReference QUOTED_NAME MemberReference FOLLOW_QUOTED_NAME_in_ksName10145 match = IfStatement MemberReference state failed ReturnStatement End IfStatement BinaryOperation == MemberReference state backtracking Literal 0 BlockStatement StatementExpression MethodInvocation name TernaryExpression BinaryOperation != MemberReference t Literal null MethodInvocation t getText Literal null Literal true setKeyspace End SwitchStatementCase Literal 3 BlockStatement StatementExpression MethodInvocation MemberReference FOLLOW_unreserved_keyword_in_ksName10164 pushFollow StatementExpression Assignment MemberReference k MethodInvocation unreserved_keyword = StatementExpression MemberReference -- state _fsp IfStatement MemberReference state failed ReturnStatement End IfStatement BinaryOperation == MemberReference state backtracking Literal 0 BlockStatement StatementExpression MethodInvocation name MemberReference k Literal false setKeyspace End SwitchStatementCase Literal 4 BlockStatement StatementExpression MethodInvocation MemberReference input MemberReference QMARK MemberReference FOLLOW_QMARK_in_ksName10174 match IfStatement MemberReference state failed ReturnStatement End IfStatement BinaryOperation == MemberReference state backtracking Literal 0 BlockStatement StatementExpression MethodInvocation Literal ""Bind variables cannot be used for keyspace names"" addRecognitionError End End CatchClause CatchClauseParameter RecognitionException re",35,26,8,11,6,6
6204,flink-core-1.8.0,NullMaskUtils,BIT_SIGNED_CHECK,BAD_PRACTICE,3,100,100,false,,12,8,2,2,3,4
2274,cassandra-all-2.2.18,CqlParser,SF_SWITCH_NO_DEFAULT,STYLE,2,11307,11377,false,MethodDeclaration Modifier public ReferenceType AbstractAnalyzer getAnalyzer FormalParameter ReferenceType AbstractType TypeArgument ? validator TryStatement CatchClause CatchClauseParameter InstantiationException IllegalAccessException e,61,44,16,19,11,7
6975,kylin-core-common-2.6.4,SSHClient,DM_EXIT,BAD_PRACTICE,2,237,237,false,,28,19,7,6,8,6
4720,commons-bcel-8804a93690cd4be12024345225e0934d66aa4cf6,LocalVariableTypeTable,EI_EXPOSE_REP2,MALICIOUS_CODE,2,110,110,false,,3,1,0,0,1,2
2628,cassandra-all-3.0.22,CFMetaData,DM_DEFAULT_ENCODING,I18N,1,516,516,false,MethodDeclaration Modifier public ReferenceType ByteBuffer toByteArray FormalParameter ReferenceType Token token LocalVariableDeclaration ReferenceType StringToken VariableDeclarator stringToken Cast ReferenceType StringToken MemberReference token,3,0,0,0,0,0
3821,cassandra-all-4.0-beta2,AuthResponse,BC_UNCONFIRMED_CAST,STYLE,3,76,76,false,,7,3,1,0,2,3
4961,commons-bcel-c6d2ad474e4d1a4540e498e2798b6968022d182c,Utility,SF_SWITCH_FALLTHROUGH,STYLE,2,334,337,false,,19,14,7,8,8,5
